	en	fr	es	el
forensic_family_ai_look	Sections of objects in the image highlighted in red.	Zones des objets dans l'image mises en évidence en rouge.	Las zonas de los objetos en la imagen resaltados en rojo.	Τμήματα των αντικειμένων στην εικόνα επισημαίνονται με κόκκινο χρώμα.
forensic_family_ai_ignore	Blue sections should we ignored.	Il faut ignorer les zones bleues	zonas azules deben ser ignoradas.	Μπλε τμήματα θα πρέπει να αγνοηθεί.
forensic_family_cloning_title	Cloning	Clonage	clonación	κλωνοποίηση
forensic_family_cloning_description	They detect elements in the image that has been copied and moved to create the fake image	Ils détectent les éléments de l'image qui ont été copiés et déplacés pour créer la fausse image	Detectan elementos en la imagen que se ha copiado y se trasladó para manipular la imagen	Εντοπίζουν στοιχεία της εικόνας που έχει αντιγραφεί και κινήθηκε για να δημιουργήσει την εικόνα ψεύτικο
forensic_family_cloning_look	CMFD – Red areas are the elements that have been copied and moved and sometimes it can appear a white region that represents the source of the element that has been cloned RCMFD – Red lines that represents similar objects in the image that have been cloned	CMFD - Les zones rouges sont les éléments qui ont été copiés et déplacés. Parfois, il peut apparaître une région blanche qui représente la source de l'élément qui a été cloné RCMFD - Les lignes rouges représentent des objets similaires dans l'image qui ont été clonés	CMFD - Las zonas rojas son los elementos que han sido copiados y movidos y a veces puede aparecer una región blanca que representa el origen del elemento que ha sido clonado RCMFD - líneas rojas que representa objetos similares en la imagen que se han clonado	CMFD - Red περιοχές είναι τα στοιχεία που έχουν αντιγραφεί και μετακόμισε και μερικές φορές μπορεί να εμφανιστεί μια λευκή περιοχή που αποτελεί την πηγή του στοιχείου που έχει κλωνοποιηθεί RCMFD - κόκκινες γραμμές που αντιπροσωπεύει παρόμοια αντικείμενα στην εικόνα που έχουν κλωνοποιηθεί
forensic_family_cloning_ignore	The rest of the sections that are not described in the “look for” section.	Le reste des zones qui ne sont pas décrites dans la section « Quoi détecter ».	El resto de las zonas que no se describen en la sección "Que detectar".	Το υπόλοιπο των τμημάτων που δεν περιγράφονται στο «βλέμμα για» ενότητα.
forensic_filters_explanation	All forensic filters displayed below are aimed at detecting modifications or alterations in the original image that can create a fake image. The filters are distributed in different families based on their way of detecting these anomalies. Note that the filters are not perfect, and they can generate some false positives that should be ignored. To help this process a short explanation of the family and the things to look at it or the things to ignore are displayed below the filters. Usually, all the filters show possible modifications in red and not altered areas in blue. If you want to learn more, you can go to our extended documentation.	Tous les filtres forensic affichés ci-dessous visent à détecter des modifications ou des altérations de l'image originale qui a servi à  créer une fausse image. Les filtres sont répartis dans différentes familles en fonction de leur façon de détecter ces anomalies. Notez que les filtres ne sont pas parfaits, et ils peuvent générer des faux positifs qui doivent être ignorés. Pour faciliter ce processus une brève explication de la famille de filtres et des éléments à considérer (case à cocher verte) ou ceux à ignorer (stop rouge) sont affichés sous les filtres. En règle générale, tous les filtres montrent des modifications possibles en rouge et des zones non altérées en bleu. Si vous voulez en savoir plus, vous pouvez consulter notre documentation complète.	Todos los filtros forenses que se muestran a continuación tratan de detectar modificaciones o alteraciones en la imagen original que generaron una imagen falsa. Los filtros se distribuyen en diferentes familias en función de su forma de detectar estas anomalías. Tenga en cuenta que los filtros no son perfectos, y que pueden generar algunos falsos positivos que deben ser ignorados. Para ayudarles en este proceso una breve explicación de la familia y las cosas que mirar o ignorar se muestran bajo los filtros. Por lo general, todos los filtros muestran posibles modificaciones en áreas alteradas de color rojo y mientras las zonas sin manipulación se quedan en azul. Si desea obtener más información, puede dirigirse a nuestra documentación ampliada.	Όλες οι ιατροδικαστικές φίλτρα που εμφανίζονται κάτω από στοχεύουν στην ανίχνευση τροποποιήσεις ή αλλαγές στην αρχική εικόνα που μπορεί να δημιουργήσει μια εικόνα πλαστή. Τα φίλτρα που διανέμονται σε διαφορετικές οικογένειες με βάση την πορεία τους για την ανίχνευση αυτών των ανωμαλιών. Σημειώστε ότι τα φίλτρα δεν είναι τέλεια, και μπορούν να δημιουργήσουν κάποια ψευδώς θετικά που θα πρέπει να αγνοηθεί. Για να βοηθήσει αυτή τη διαδικασία μια σύντομη επεξήγηση της οικογένειας και τα πράγματα να δει κανείς ή τα πράγματα που πρέπει να αγνοήσει εμφανίζονται κάτω από τα φίλτρα. Συνήθως, όλα τα φίλτρα δείχνουν πιθανές τροποποιήσεις σε κόκκινο και όχι αλλαγμένη περιοχές με μπλε χρώμα. Αν θέλετε να μάθετε περισσότερα, μπορείτε να πάτε σε εκτεταμένη τεκμηρίωση.
forensic_lenses_explanation	The enhancers displayed below help you to better look at the image's edges. They are not enough to conclude about forgeries but if you see a suspicious zone, you should then look at the same zone in the forensic filters displayed on the right.	Les amplificateurs affichés ci-dessous améliorent certains contours de l'image. Ils ne sont pas suffisants pour conclure à une manipulation quelconque mais si vous voyez une zone suspecte dans l'image, alors vous pouvez alors l'examiner dans les filtres forensic à droite.	Los amplificadores aquí abajo mejoran los contornos de la imagen. No son suficientes para concluir que una imagen esta manipulada pero si ve alguna zona sospechosa, puede mirar esas mismas zonas en los filtros forensic de la derecha.	Όλες οι ιατροδικαστικές φακοί εμφανίζεται κάτω από την ενίσχυση ορισμένων πτυχών της εικόνας για να βοηθήσει τη διαδικασία της ανίχνευσης ανωμαλιών, θα πρέπει να χρησιμοποιούνται για την ανάλυση σε συνδυασμό με τα φίλτρα.
forensic_title_image	Uploaded Image	Image téléchargée	Imagen subida	Uploaded Εικόνα
forensic_button_newImage	New Image	Nouvelle image	Nueva imagen	Νέα εικόνα
forensic_title_what	What is this?	Qu'est-ce que c'est?	¿Qué es ésto?	Τι είναι αυτό?
forensic_title_filters	Filters	Filtres	Filtros	φίλτρα
forensic_title_lenses	Enhancers	Amplificateurs	Amplificadores	Φακοί
forensic_input_placeholder	Paste here the link	Copier ici le lien	Copiar aquí el enlace	Επικόλληση εδώ ο σύνδεσμος
forensic_button_download	Download	Télécharger	Bajar	Κατεβάστε
forensic_text_speed	Speed of the animation	Vitesse de l'animation	Velocidad de la animación	Ταχύτητα της κινούμενης εικόνας
forensic_title_export	Export the result as a GIF	Exporter le résultat en GIF	Exportar el resultado en GIF	Εξαγωγή του αποτελέσματος ως GIF
forensic_text_fast	Fast	Rapide	Rapido	Γρήγορα
forensic_text_slow	Slow	Lent	Lento	Αργός
forensic_text_detection	Detection	Détection	Detección	Ανίχνευση
forensic_text_nodetection	No detection	Pas de détection	Ninguna detección	Δεν υπάρχει ανίχνευση
forensic_tosast_clipboard	URL of the image copied into the cliboard	URL de l'image copiée dans le presse-papier	URL de la imagen copiada en el portapapeles	URL της εικόνας που αντιγράφεται στο Cliboard
forensic_card_zero_report	When an area has a different JPEG grid position than the rest of the image, then it is a forgery. This can be caused by splicing or copy-move. Looking at the votemap may also give a cue of what has been analyzed. Vote map: each color has a meaning. Green means that the pixel has detected a JPEG grid and that it is align with the top-left of the image. Black means that no JPEG grid has been detected and the other colors correspond to other possible grids.	Lorsqu'une zone a une autre position de grille JPEG que le reste de l'image, c'est une falsification. Cela peut être causé par un épissage ou une copie-bouge. En regardant le témote peut également donner une queue de ce qui a été analysé. Vote Carte: Chaque couleur a une signification. Vert signifie que le pixel a détecté une grille JPEG et qu'elle est alignée avec le haut à gauche de l'image. Black signifie qu'aucune grille JPEG n'a été détectée et que les autres couleurs correspondent à d'autres grilles possibles.	Cuando un área tiene una posición de cuadrícula JPEG diferente al resto de la imagen, entonces es una falsificación. Esto puede ser causado por empalme o copia de movimiento. Mirar el Votemap también puede dar una señal de lo que se ha analizado. Mapa de votación: cada color tiene un significado. Verde significa que el píxel ha detectado una cuadrícula JPEG y que se alinea con la parte superior izquierda de la imagen. Negro significa que no se ha detectado una cuadrícula JPEG y los otros colores corresponden a otras cuadrículas posibles.	Όταν μια περιοχή έχει μια διαφορετική θέση πλέγμα JPEG από την υπόλοιπη εικόνα, τότε είναι μια πλαστογραφία. Αυτό μπορεί να προκληθεί από τη ματιά ή την αντιγραφή. Κοιτάζοντας το ψητό μπορεί επίσης να δώσει ένα σύνθημα αυτού που έχει αναλυθεί. Χάρτης ψήφου: Κάθε χρώμα έχει νόημα. Το πράσινο σημαίνει ότι το εικονοστοιχείο έχει εντοπίσει ένα πλέγμα JPEG και ότι είναι ευθυγραμμισμένο με την επάνω αριστερά της εικόνας. Το μαύρο σημαίνει ότι κανένα πλέγμα JPEG δεν έχει ανιχνευθεί και τα άλλα χρώματα αντιστοιχούν σε άλλα δυνατά πλέγματα.
forensic_card_laplacian_report	The Laplacian shows high frequencies of the image such as the borders. Can make some areas "appear" by showing the borders of the erasement or pasting of an object. This is not a forgery detector per se, visual analysis is required to interpret its results.	Laplacian montre des hautes fréquences de l'image telles que des contours. Il peut faire "apparaître" certaines zones en montrant les frontières de l'effacement ou de l'inscrutation d'un objet. Ce n'est pas un détecteur de falsification en soi, une analyse visuelle est nécessaire pour interpréter ses résultats.	El Laplacian muestra las altas frecuencias de la imagen, como las fronteras. Puede hacer que algunas áreas "aparezcan" mostrando los bordes del borrado o pegado de un objeto. Este no es un detector de falsificación per se, se requiere un análisis visual para interpretar sus resultados.	Ο ΛΑΠΛΑΚΙΑ παρουσιάζει υψηλές συχνότητες της εικόνας όπως τα σύνορα. Μπορεί να κάνει κάποιες περιοχές "εμφανίζονται" δείχνοντας τα σύνορα της Στασης ή την επικόλληση ενός αντικειμένου. Αυτός δεν είναι ανιχνευτής πλαστογράφησης per se, η οπτική ανάλυση απαιτείται να ερμηνεύσει τα αποτελέσματά του.
forensic_card_splicebuster_report	Each image carries invisible noise as a result of the image processing pipeline. Residual noise is estimated and then used to extract features. Regions having different features than the rest of the image are pointed as suspicious. Due to the normalization, there will always be at least one pixel at a high value even on an authentic image. Furthermore, care should be taken analyzing saturated regions; when those are not automatically masked by the algorithm they may be detected as forgeries even when they are authentic.	Chaque image porte un bruit invisible à la suite du pipeline de traitement d'image. Le bruit résiduel est estimé puis utilisé pour extraire des caractéristiques. Les régions ayant différentes fonctionnalités que le reste de l'image sont pointées comme suspectes. En raison de la normalisation, il y aura toujours au moins un pixel à une valeur élevée même sur une image authentique. En outre, il convient de prendre soin d'analyser des régions saturées; Lorsque ceux-ci ne sont pas automatiquement masqués par l'algorithme, ils peuvent être détectés comme des précieuses, même lorsqu'elles sont authentiques.	Cada imagen lleva ruido invisible como resultado de la tubería de procesamiento de imágenes. El ruido residual se estima y luego se usa para extraer características. Las regiones que tienen diferentes características que el resto de la imagen se apuntan tan sospechosas. Debido a la normalización, siempre habrá al menos un píxel a un alto valor incluso en una imagen auténtica. Además, se debe tener cuidado analizar regiones saturadas; Cuando no se enmascaran automáticamente por el algoritmo, pueden detectarse como falsificaciones incluso cuando son auténticas.	Κάθε εικόνα φέρει αόρατο θόρυβο ως αποτέλεσμα του αγωγού επεξεργασίας εικόνας. Ο υπολειπόμενος θόρυβος υπολογίζεται και στη συνέχεια χρησιμοποιείται για την εξαγωγή των λειτουργιών. Οι περιφέρειες που έχουν διαφορετικά χαρακτηριστικά από την υπόλοιπη εικόνα επισημαίνονται ως ύποπτα. Λόγω της εξομάλυνσης, θα υπάρχει πάντα τουλάχιστον ένα εικονοστοιχείο σε υψηλή αξία ακόμη και σε μια αυθεντική εικόνα. Επιπλέον, πρέπει να ληφθεί μέριμνα ανάλυση κορεσμένων περιοχών. Όταν αυτά δεν καλύπτονται αυτόματα από τον αλγόριθμο, μπορούν να ανιχνευθούν ως πλαστικοποιήσεις ακόμη και όταν είναι αυθεντικά.
forensic_card_mantranet_report	Mantra-Net is a deep learning approach for forgery manipulation detection.  It shows regions which it believes are forged. However, in the absence of automatic analysis of the results, visual interpretation is needed to distinguish true detections from noise.	Mantra-Net est une approche d'apprentissage profonde par ordinateur pour la détection de falsification. Il montre des régions qu'il croit être manipulées. Cependant, en l'absence d'analyse automatique des résultats, une interprétation visuelle est nécessaire pour distinguer les véritables détections des traces de bruit dans l'image.	Mantra-Net es un enfoque de aprendizaje profundo para la detección de la manipulación de la falsificación. Muestra regiones que cree que se forjan. Sin embargo, en ausencia de análisis automático de los resultados, se necesita interpretación visual para distinguir las detecciones verdaderas del ruido.	Το Mantra-Net είναι μια προσέγγιση βαθιάς μάθησης για την ανίχνευση χειρισμού πλαστογραφίας. Δείχνει περιοχές που πιστεύει ότι είναι πλαστά. Εντούτοις, ελλείψει αυτόματης ανάλυσης των αποτελεσμάτων, απαιτείται οπτική ερμηνεία για τη διάκριση πραγματικών ανιχνεύσεων από το θόρυβο.
forensic_card_fusion_report	Pending	En attente	Pendiente	εκκρεμής
forensic_card_cmfd_report	This is a deep learning approach on copy-move forgery detection. Dark pixels are authentic and light-coloured ones are targeting a possible copy-move inside the image.	C'est une approche d'apprentissage en profondeur par ordinateur sur la détection de falsification par copier/coller. Les pixels foncés sont authentiques et les zones claires montre un possible copier/coller de zones dans l'image.	Este es un enfoque de aprendizaje profundo por ordenador en la detección de falsificación de copiar y pegar zonas en la misma imagen. Los píxeles oscuros son auténticos y los claritos apuntan a un posible copiar y pegar de zonas dentro de la misma imagen.	Αυτή είναι μια βαθιά προσέγγιση μάθησης στην ανίχνευση πλαστογράφησης αντιγραφής. Τα μπλε εικονοστοιχεία είναι αυθεντικά, τα πράσινα είναι η πηγή και οι κόκκινες που ο στόχος της αντιγραφής κίνησης.
forensic_card_rcmfd_report	The Robust Copy-Move Forgery Detector is based on the SIFT method. The detector links similar objects (which are not similar naturally) with red lines. The algorithm does not detect which object is pristine and which one is forged.	Le détecteur robuste de falsification par copier-coller est basé sur la méthode des points SIFT. Le détecteur relie des objets similaires (qui ne sont pas naturellement similaires) avec des lignes rouges. L'algorithme ne détecte pas quel objet est authentique et lequel est manipulé.	El detector robusto de falsificación de copiar y pegar (RCMFD) se basa en el método de detección de puntos SIFT. El detector vincula objetos similares (que no son similares naturalmente) con líneas rojas. El algoritmo no detecta qué objeto es autentico y cuál está forjado.	Ο ανιχνευτής πλαστών ανιχνευτής αντιγραφής αντιγραφής βασίζεται στη μέθοδο Sift. Ο ανιχνευτής συνδέει παρόμοια αντικείμενα (τα οποία δεν είναι παρόμοια φυσικά) με κόκκινες γραμμές. Ο αλγόριθμος δεν ανιχνεύει ποιο αντικείμενο είναι παρθένο και ποιο είναι σφυρηλατημένο.
