	en	fr	es	el	ar
assistant_help_4	"<b>More information</b><br>For a detailed breakdown of the type of URLs supported by the assistant, see <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-urls"" target=""_blank"">this page</a><br/>For a detailed breakdown of the tools and checks run by the assistant, see: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank"">this page</a>"	"<b> Plus d'informations </b> <br> Pour une liste détaillée du type d'URL pris en charge par l'assistant, voir <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-urls"" target=""_blank""> cette page </a> <br/> Pour une information détaillée des outils et des contrôles gérés par l'assistant, voir: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank""> cette page </a>"""	"<b> Más información </b> <br> Para un desglose detallado del tipo de URLs apoyado por el asistente, consulte <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-urls"" target=""_blank""> esta página </a> <br/> Para un desglose detallado de las herramientas y controles dirigidos por el asistente, consulte: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank""> esta página </a>"""	"<B> Περισσότερες πληροφορίες </ b> <br> Για μια λεπτομερή ανάλυση του είδους των διευθύνσεων URL που υποστηρίζεται από το βοηθό, δείτε το <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-urls"" target=""_blank""> αυτήν τη σελίδα </a> <br/> Για μια λεπτομερή ανάλυση των εργαλείων και των ελέγχων που διευθύνεται από τον βοηθό, δείτε: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank""> αυτήν τη σελίδα </a>"""	"<b> المزيد من المعلومات</b><br>للحصول على تحليل تفصيلي لنوع عناوين URL التي يدعمها المساعد</a>، راجع هذه الصفحة <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-urls"" target=""_blank""> للحصول على تحليل مفصل للأدوات وعمليات التحقق التي يديرها المساعد ، راجع هذه الصفحة: <a href = ""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target = ""_blank"" > <br/></a>"
enter_url	Enter URL	Entrer l'URL	Introducir URL	εισάγετε τη διεύθυνση URL	أدخل عنوان الموقع
mode_label	URL mode	Mode URL	modo de URL	λειτουργία URL	وضع URL
url_text	URL Text	Mode Texte	Texto URL	URL Κείμενο	نص URL
url_media	URL Media	Media	URL de medios	URL Media	وسائط URL
media_text	Extracted Media Text	Texte extrait du média	Texto extraído de Medios	Εκχυλίσματα Media Κείμενο	نص الوسائط المستخرجة
download_video	The video has been extracted but cannot be processed using the direct URL. Please open it in a new tab using the link below, download it, and use the assistant to see which tools can be used on the downloaded video.	La vidéo a été extraite, mais ne peut pas être traitée en utilisant directement l'URL. S'il vous plaît ouvrez-la dans un nouvel onglet en utilisant le lien ci-dessous, télécharger-la et utiliser l'assistant pour voir quels outils peuvent être utilisés sur la vidéo téléchargée.	El vídeo ha sido extraída, pero no puede ser procesada usando la URL directa. Por favor, abrirlo en una nueva pestaña usando el siguiente enlace, descargar y utilizar de nuevo el asistente para ver qué herramientas se pueden utilizar con el vídeo descargado.	Το βίντεο έχει αφαιρεθεί, αλλά δεν μπορούν να υποβληθούν σε επεξεργασία χρησιμοποιώντας την άμεση διεύθυνση URL. Παρακαλούμε να ανοίξετε σε μια νέα καρτέλα, χρησιμοποιώντας τον παρακάτω σύνδεσμο, κατεβάσετε και να χρησιμοποιήσετε το βοηθό για να δείτε ποια εργαλεία μπορούν να χρησιμοποιηθούν για την κατεβάσει βίντεο.	تم استخراج الفيديو ولكن لا يمكن معالجته باستخدام عنوان URL المباشر. يرجى فتحه في علامة تبويب جديدة باستخدام الرابط أدناه، وتنزيله، واستخدام المساعد لمعرفة الأدوات التي يمكن استخدامها في الفيديو الذي تم تنزيله.
text_warning	Warnings found against text. See warning box.	Alertes sur le texte. Regarder le message d'avertissement.	Advertencias sobre el texto. Ver el mensaje de advertencia.	Προειδοποιήσεις καταδίκασε κείμενο. Δείτε κουτί προειδοποίηση.	تم العثور على تحذيرات ضد النص. تفقد مربع التحذير.
image_warning	Warnings found against image. See warning box.	Alertes sur l'image. Regarder le message d'avertissement.	Advertencias sobre la imagen. Ver cuadro de advertencia.	Προειδοποιήσεις καταδίκασε την εικόνα. Δείτε κουτί προειδοποίηση.	تحذيرات موجودة ضد الصورة. تفقد مربع التحذير.
warning_title	Warning	Attention	Advertencia	Προειδοποίηση	تحذير
warning_subtitle	Some elements of this content have been flagged	Quelques éléments de ce contenu ont été signalés	Algunos elementos de estos contenidos han sido señalados	Κάποια στοιχεία αυτού του περιεχομένου επισημανθεί	تم وضع علامة على بعض عناصر هذا المحتوى
status_title	Status	Status	Estado	Κατάσταση	الحالة
status_subtitle	Note: one or more of the automated checks have resulted in an error. Some results may be omitted from this page.	Note: une ou plusieurs des vérifications automatiques ont donné une erreur. Quelques résultats peuvent manquer sur la page.	Nota: una o más de las verificaciones automáticas han dado lugar a un error. Algunos resultados pueden ser omitidas en esta página.	Σημείωση: ένα ή περισσότερα από τα αυτοματοποιημένων ελέγχων είχαν ως αποτέλεσμα σφάλμα. Ορισμένα αποτελέσματα μπορεί να παραληφθεί από αυτή τη σελίδα.	ملاحظة: أدت واحدة أو أكثر من عمليات التدقيق الآلية إلى خطأ. قد يتم حذف بعض النتائج من هذه الصفحة.
named_entity_title	Text Topics	Sujets du texte	Temas de texto	Θέματα κείμενο	موضوعات النص
dbkf_image_warning	The image from this URL has matched against the following from the database of known fakes with a similarity score of	L'image de cette URL a été comparée aux images suivantes de la base de données des faux connus avec un score de similarité de	La imagen de esta URL se compara con la siguiente de la base de datos de falsificaciones conocidas con una puntuación de similitud	Η εικόνα από αυτήν τη διεύθυνση URL έχει συγκρίνεται με την επόμενη από τη βάση δεδομένων των γνωστών προϊόντων απομίμησης με σκορ ομοιότητας των	تمت مطابقة الصورة من عنوان URL هذا مع ما يلي من قاعدة بيانات المنتجات المقلدة المزيفة بدرجة تشابه
dbkf_video_warning	The video from this URL has matched against the following from the database of known fakes with a similarity score of	La vidéo de cette URL a été comparée aux images suivantes de la base de données des faux connus avec un score de similarité de	El vídeo de esta URL se compara con la siguiente de la base de datos de falsificaciones conocidas con una puntuación de similitud	Το βίντεο από αυτήν τη διεύθυνση URL έχει συγκρίνεται με την επόμενη από τη βάση δεδομένων των γνωστών προϊόντων απομίμησης με σκορ ομοιότητας των	تمت مطابقة الفيديو من عنوان URL هذا مع ما يلي من قاعدة بيانات المنتجات المزيفة المعروفة بدرجة تشابه
dbkf_text_warning	The text from this URL has matched against the following from the database of known fakes	Le texte de cette URL a été comparé à la base de données des faux connus	El texto de esta URL se compara con la siguiente de la base de datos de falsificaciones conocidas	Το κείμενο από αυτή τη διεύθυνση URL έχει συγκρίνεται με την επόμενη από τη βάση δεδομένων των γνωστών προϊόντων απομίμησης	تمت مطابقة النص من عنوان URL هذا مع ما يلي من قاعدة بيانات المنتجات المزيفة المعروفة
labelled_as	It has been labelled as:	Il a été étiqueté comme:	Ha sido etiquetado como:	Έχει επισημανθεί ως εξής:	تم تصنيفه على أنه:
commented_as	with the following comment :	avec le commentaire suivant :	con el siguiente comentario :	Έχει το ακόλουθο σχόλιο εναντίον του:	مع التعليق التالي:
hp_warning	The text from this URL has returned an unusually high hyperpartisan score of	Le texte de cette adresse web a retourné un score anormalement élevé de discours hyper-partisan de	El texto de este URL ha vuelto una puntuación inusualmente alta de discurso hiperpartisan	Το κείμενο από αυτή τη διεύθυνση URL έχει επιστρέψει ένα ασυνήθιστα υψηλό hyperpartisan βαθμολογία	أعاد النص من عنوان URL هذا درجة عالية بشكل غير عادي من التشدد الحزبي(hyperpartisan)
image_analysis_text	Retrieve contextual information about the image	Récupérer les informations contextuelles sur la vidéo	Recuperar información contextual sobre el video	Ανάκτηση συναφείς πληροφορίες σχετικά με το βίντεο	استرداد المعلومات السياقية حول الصورة
video_analysis_text	Retrieve contextual information about the video	Récupérer les informations contextuelles sur la vidéo	Recuperar información contextual sobre el video	Ανάκτηση συναφείς πληροφορίες σχετικά με το βίντεο	استرداد المعلومات السياقية حول الفيديو
keyframes_text	Fragment the video	Segmenter la vidéo en images-clés	Fragmentar el video	Κατακερματίζουν το βίντεο	قم بتجزئة الفيديو
thumbnails_text	Reverse search on thumbnails from the video	Recherche inversée à partir des imagettes de la vidéo	Búsqueda inversa de las imágenes del video	Αντίστροφη αναζήτηση στις φωτογραφίες από το βίντεο	البحث العكسي على الصور المصغرة من الفيديو
magnifier_text	Examine the image thoroughly	Examen approfondi de l'image (loupe)	Examinar a fondo la imagen	Εξετάστε την εικόνα προσεκτικά	فحص متعمق للصورة (عدسة مكبرة)
metadata_text	Retrieve image/video metadata	Récupérer les métadonnées image ou vidéo	Recuperar la imagen / metadatos de vídeo	Ανάκτηση εικόνας / βίντεο μεταδεδομένα	استرداد بيانات تعريف الصورة/الفيديو
rights_text	Retrieve information solely about video rights	Récupérer les informations sur les droits de la vidéo	Recuperar información únicamente sobre los derechos del vídeo	Ανάκτηση πληροφοριών αποκλειστικά και μόνο για το βίντεο δικαιώματα	استرداد المعلومات المتعلقة بحقوق الفيديو فقط
forensic_text	Detect any image manipulation	Détecter des manipulations dans l'image	Detectar cualquier manipulación de imágenes	Εντοπισμός τυχόν χειραγώγηση της εικόνας	كشف أي تلاعب بالصور
ocr_text	Extract any text from the image	Extraire le texte de l'image	Extraer cualquier texto de la imagen	Απόσπασμα οποιοδήποτε κείμενο από την εικόνα	استخراج أي نص من الصورة
hyperpartisan_title	Hyperpartisan service	Service de détection de contenu hyperpartisan	servicio hiperpartisan	υπηρεσία Hyperpartisan	خدمة الكشف عن التشدد الحزبي (Hyperpartisan)
dbkf_text_title	Database of known fakes text search	Recherche textuelle dans la base de faux connus	Búsqueda de texto en la base de datos de falsificaciones conocidas	Βάση δεδομένων των γνωστών αναζήτηση προϊόντων απομίμησης κείμενο	قاعدة بيانات البحث عن النصوص المزيفة المعروفة
dbkf_media_title	Database of known fakes media search	Recherche d'image dans la base de faux connus	Búsqueda de imagen en la base de datos de falsificaciones conocidas	Βάση δεδομένων των γνωστών αναζήτηση προϊόντων απομίμησης ΜΜΕ	قاعدة بيانات البحث عن الوسائط المزيفة المعروفة
ne_title	Named entity search	Recherche d'entités nommées	Búsqueda de entidad nombrada	Το όνομά αναζήτηση οντότητα	البحث عن كيان مسمى 
ocr_title	OCR search	Reconnaissance optique de caractères	Búsqueda OCR	αναζήτηση OCR	بحث OCR
source_cred_title	Source credibility service	Service de vérification de la source	Servicio de credibilidad de la fuente de información	υπηρεσία αξιοπιστία Πηγή	خدمة مصداقية المصدر
mt_title	Machine translation service	Traduction automatique	Servicio de traducción automática	υπηρεσία αυτόματης μετάφρασης	خدمة الترجمة الآلية
translate	Translate (beta)	Traduire (beta)	Traducir (beta)	Μετάφραση (beta)	ترجمة (بيتا)
copy_link	Copy link	Copier le lien	Copiar enlace	Αντιγραφή συνδέσμου	انسخ الرابط
archive_link	Archive	Archiver	Archivo	Αρχειοθέτηση	الأرشيف
source_credibility_warning	The domain or account has been mentioned in a lookup against:	Le domaine ou compte a été repéré dans une recherche sur:	El dominio o cuenta fue encontrado en una búsqueda sobre:	Ο τομέας / ο λογαριασμός έχει αναφερθεί σε μια αναζήτηση έναντι:	تم ذكر النطاق أو الحساب في عملية بحث ضد:
text_tooltip	"<b>What is this?</b></br>Any text which can be extracted from the given URL is displayed here</br></br><b>How is this used?</b></br>Various text processing tools are run against this text: <ul><li>The language is detected and displayed</li><li>The named entities in the text are extracted and displayed (people, locations, organisations etc.)</li><li>The first 500 characters in the text are sent to be checked against the database of known fakes. The results of this check (if any) are listed in the <b>Warnings</b> section</li></ul> For more information, see: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank"" rel=""noopener noreferrer"">this page</a>"	<b> Qu'est-ce que cela? </b> </br> Tout texte qui peut être extrait de l'URL donnée est affichée ici </br> </br> <b> Comment est-il utilisé? </b> </br> outils de traitement de texte Divers sont exécutés contre ce texte: <ul> <li> la langue est détectée et affichée </li> <li> les entités nommées dans le texte sont extraites et affichées (personnes, lieux, organisations, etc.) </li> <li> les 500 premiers caractères du texte sont envoyés à vérifier contre la base de données des produits de contrefaçon connus. Les résultats de cette vérification (le cas échéant) sont énumérées dans la section <b> Avertissements </b> </ li> </ul> Pour plus d'informations, voir:	<b> ¿Qué es esto? </b> </br> Aquí se muestra cualquier texto que puede ser extraído de su URL  </br> </br> <b> ¿Cómo se utiliza? </b> </ br> Se procesan varias herramientas sobre el texto : <ul> <li> se detecta el idioma y se visualiza </ li> <li> Se muestran las entidades mencionadas en el texto que se extraen (personas, lugares, organizaciones, etc.) </li> <li> los primeros 500 caracteres del texto se envían para comprobar si coincide con la base de datos de falsificaciones conocidas. Los resultados de esta comprobación (si existe) se enumeran en las <b> advertencias </b> </ li> </ul> Para obtener más información, véase:	<b> Τι είναι αυτό; </ b> </br> Κάθε κείμενο που μπορεί να εξαχθεί από τη συγκεκριμένη διεύθυνση URL εμφανίζεται εδώ </br> </br> <b> Πώς είναι αυτό χρησιμοποιείται; </ b> </ br> Τα εργαλεία επεξεργασίας Διάφορα κείμενο ερχόταν σε αντίθεση με αυτό το κείμενο: <ul> <li> Η γλώσσα εντοπίζεται και εμφανίζεται </ li> <li> Οι ονομάζονται οντότητες στο κείμενο εξάγεται και εμφανίζεται (ανθρώπους, τοποθεσίες, οργανισμοί κλπ) </ li> <li> Οι πρώτες 500 χαρακτήρες στο κείμενο έστειλε να ελεγχθεί με τη βάση δεδομένων των γνωστών προϊόντων απομίμησης. Τα αποτελέσματα αυτού του ελέγχου (αν υπάρχουν) που περιλαμβάνονται στις <b> Προειδοποιήσεις </ b> </ li> </ ul> Για περισσότερες πληροφορίες, δείτε:	"<b> ما هذا؟</b></br> يتم عرض أي نص يمكن استخراجه من عنوان URL المحدد هنا</br></br><b>كيف يتم استخدام هذا؟</b></br> يتم تشغيل أدوات معالجة النصوص المختلفة مقابل هذا النص: يتم <ul><li>اكتشاف اللغة</li> وعرضها <li>يتم استخراج الكيانات المسماة في النص وعرضها (الأشخاص والمواقع والمنظمات وما إلى ذلك)</li> <li>يتم إرسال أول 500 حرف في النص ليتم التحقق منها مقابل قاعدة بيانات المنتجات المزيفة المعروفة. يتم سرد نتائج هذا الفحص (إن وجدت) في قسم <b>التحذيرات</b> لمزيد من</li></ul> المعلومات، راجع: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank"" rel=""noopener noreferrer"">this page</a>"
media_tooltip	"<b>What is this?</b></br>Any images or videos which can be extracted from the URL have been displayed here.</br></br><b>What can I do with these?</b></br>For any selected image/video, a list of relevant tools from the plugin which can process this media are given. Selecting any of these will redirect the media to the selected tool.</br> Alongside this, the assistant will reverse search the media against the database of known fakes. If any results are found, these will be displayed in the <b>Warnings</b> section.</br></br> For more information, see: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank"" rel=""noopener noreferrer"">this page</a>"	<b> Qu'est-ce que cela? </b> </br> Toutes les images ou des vidéos qui peuvent être extraits de l'URL ont été affichées ici. </br> </br> <b> Que puis-je faire avec ça? </b> </br> Pour toute image / vidéo sélectionnée, une liste des outils pertinents du plug-in qui peuvent traiter ce média sont indiqués. La choix d'un de ces outils redirigera le média vers l'outil sélectionné. </br> Parallèlement, l'assistant recherchera ce média dans une base de données de faux connus. S'il y a des résultats, ceux-ci s'afficheront dans la section <b> Avertissements </ b> </br> </br> Pour plus d'informations, voir :	<b> ¿Qué es esto? </b> </br> las imágenes o vídeos que se pueden extraer de la URL se han expuesto aquí. </br> </br> <b> ¿Qué puedo hacer con estos? < /b> </br> Para cualquier imagen / vídeo seleccionado, una lista de las herramientas pertinentes desde el plugin que puede procesar se dan este medio de comunicación. Al seleccionar cualquiera de ellos volverá a dirigir los medios de comunicación para la herramienta seleccionada. </br> Junto a esto, el asistente revertir buscar en los medios de comunicación contra la base de datos de falsificaciones conocidas. Si no se encuentra ningún resultado, éstos se mostrarán en el <b> Las advertencias sección </b> </br> </br> Para obtener más información, ver :	<b> Τι είναι αυτό; </ b> </br> Τυχόν φωτογραφίες ή τα βίντεο που μπορεί να εξαχθεί από τη διεύθυνση URL έχουν εμφανιστεί εδώ. </br> </br> <b> Τι μπορώ να κάνω με αυτά; < / b> </br> Για οποιαδήποτε επιλεγμένη εικόνα / βίντεο, έναν κατάλογο των σχετικών εργαλείων από το plugin που μπορεί να επεξεργαστεί σε αυτό το τα μέσα ενημέρωσης. Επιλέγοντας κάποιο από αυτά θα ανακατευθύνει τα μέσα ενημέρωσης με το επιλεγμένο εργαλείο. </br> Παράλληλα, ο βοηθός θα αντιστρέψει αναζήτηση των μέσων μαζικής ενημέρωσης με τη βάση δεδομένων των γνωστών προϊόντων απομίμησης. Αν βρεθούν αποτελέσματα, αυτά θα εμφανιστούν στην <b> Προειδοποιήσεις </ b> </br> </br> Για περισσότερες πληροφορίες, δείτε.:	"<b> ما هذا؟</b></br> تعرض أي صور أو مقاطع فيديو يمكن استخراجها من عنوان URL هنا.</br></br> <b>ماذا يمكنني أن أفعل بها؟</b></br> بالنسبة لأي صورة / فيديو محدد، يتم تقديم قائمة بالأدوات ذات الصلة من المكون الإضافي والتي يمكنها معالجة هذه الوسائط. سيؤدي تحديد أي من هذه الوسائط إلى إعادة توجيه الوسائط إلى الأداة المحددة.</br> إلى جانب ذلك، سيقوم المساعد بعكس البحث في الوسائط مقابل قاعدة بيانات المنتجات المزيفة المعروفة. إذا تم العثور على أي نتائج، سيتم عرضها في قسم التحذيرات. <b></b></br></br> لمزيد من المعلومات، راجع هذه الصفحة: <a href=""https://gatenlp.github.io/we-verify-app-assistant/supported-tools"" target=""_blank"" rel=""noopener noreferrer""></a>"
sc_tooltip	"<b>What is this?</b></br>For every URL entered, we run either the domain (if this is a non social media URL) or the account (if this is a social media URL) against our URL domain analysis service. The results of this check are shown here.</br></br><b>What can I do with these?</b></br> The domain analysis service intends to collect information about a domain/account from multiple sources. From here, we intend to inform the user whether any of the sources we collect from hold information on the domain/account of the URL entered. The result is split into three types: <ul><li><strong>Warning:</strong> domain listed by source which explicitly lists potentially untrustworthy domains </li><li><strong>Fact checker:</strong> domain listed by source which explicitly lists fact checkers</li><li><strong>Mentions:</strong> domain listed by source which lists a mix of trustworthy and untrustworthy domains</li></ul> Since this is information collected from multiple sources, we have given the source we have taken the details from and if provided, any evidence the source itself has given so users can check the validity of claims made about a domain. For more information on sources and data collection, see <a href=""https://gatenlp.github.io/gateplugin-Source_Credibility/"" target=""_blank"" rel=""noopener noreferrer"">this page</a>"	"<b> Qu'est-ce que c'est? </ b> </br> Pour chaque URL entrée, nous exécutons le domaine (s'il s'agit d'une URL de médias non social) ou du compte (s'il s'agit d'une URL de médias sociaux) contre notre URL Service d'analyse de domaine. Les résultats de cette vérification sont présentés ici. </br> </br> <b> Que puis-je faire avec ces? </ B> </br> Le service d'analyse de domaine a l'intention de collecter des informations sur un domaine / compte à partir de plusieurs sources. À partir de là, nous avons l'intention d'informer l'utilisateur si l'une des sources que nous recueillons à partir d'informations de maintien du domaine / compte de l'URL entrées. Le résultat est divisé en trois types: <ul> <li> <strong> AVERTISSEMENT: </ strong> Domaine répertorié par la source qui énumère explicitement les domaines potentiellement non confirmés </ LI> <LI> <LI> Vérificateur de fait: </ strong> Domaine répertorié par la source qui énumère explicitement les dames d'information </ li> <li> <strong> Mentions: </ strand> Domaine répertorié par la source qui répertorie un mélange de domaines dignes de confiance </ li> </ ul> car ceci est des informations Collecté à partir de sources multiples, nous avons donné à la source que nous avons pris les détails de et, le cas échéant, toute preuve que la source elle-même a donnée afin que les utilisateurs puissent vérifier la validité des réclamations apportées sur un domaine. Pour plus d'informations sur les sources et la collecte de données, voir <a href=""https://gatenlp.github.io/gateplugin-source_credibility/"" target=""_blank"" Rel=""noopener Noreferrer""> Cette page </a>"	"<b> ¿Qué es esto? </ b> </BR> Para cada URL ingresada, ejecutamos el dominio (si esta es una URL de redes no sociales) o la cuenta (si esta es una URL de redes sociales) contra nuestra URL Servicio de análisis de dominio. Los resultados de este cheque se muestran aquí. </BR> </BR> <B> ¿Qué puedo hacer con estos? </ B> </BR> El servicio de análisis de dominio tiene la intención de recopilar información sobre un dominio / cuenta de múltiples fuentes. A partir de aquí, tenemos la intención de informar al usuario si alguna de las fuentes que recopilamos de la información de espera en el dominio / cuenta de la URL ingresada. El resultado se divide en tres tipos: <ul> <li> <strong> advertencia: </ strong> Dominio listado por fuente que enumera explícitamente los dominios potencialmente insignificatorios </ li> <li> <strong> Datos: </ strong> Dominio listado por fuente que enumera explícitamente las verificaciones de datos </ li> <li> <strong> menciones: </ strong> Dominio enumerado por la fuente que enumera una combinación de dominios confiables y confiables </ li> </ ul> desde que esta es información Recogida de múltiples fuentes, hemos dado la fuente que hemos tomado los detalles y, si se proporciona, cualquier evidencia, la fuente en sí ha dado para que los usuarios puedan verificar la validez de las reclamaciones hechas sobre un dominio. Para obtener más información sobre fuentes y recolección de datos, consulte <a href=""https://gatenlp.github.io/gateplugin-source_credibility/"" target=""_blank"" rel=""noopener noreferrer""> esta página </a>"	"<b> Τι είναι αυτό; </b> </br> Για κάθε URL που εισάγεται, τρέχουμε είτε ο τομέας (αν πρόκειται για μη μη-κοινωνική διεύθυνση URL) είτε ο λογαριασμός (αν πρόκειται για μια διεύθυνση URL των κοινωνικών μέσων) Υπηρεσία ανάλυσης τομέα. Τα αποτελέσματα αυτού του ελέγχου εμφανίζονται εδώ. </br> </br> <b> Τι μπορώ να κάνω με αυτά; </ b> <//br> Η υπηρεσία ανάλυσης τομέα σκοπεύει να συλλέξει πληροφορίες σχετικά με έναν τομέα / λογαριασμό από πολλαπλές πηγές. Από εδώ, σκοπεύουμε να ενημερώσουμε τον χρήστη εάν κάποια από τις πηγές που συλλέγουμε από πληροφορίες σχετικά με τον τομέα / λογαριασμό της URL που εισάγονται. Το αποτέλεσμα χωρίζεται σε τρεις τύπους: <ul> <li> <strong> προειδοποίηση: </ strong> domain που αναφέρεται από την πηγή που παραθέτει ρητά δυνητικά αναξιόπιστα τομείς </ li> <li> <strong> checker: </ strong> Ο τομέας που απαριθμείται από την πηγή που απαριθμεί ρητά τα Checkers </ li> <li> <strong> doments: </ strong> domain που αναφέρεται από την πηγή που απαριθμεί ένα μείγμα αξιόπιστων και αναξιόπιστων τομέων </ li> </ ul> δεδομένου ότι αυτή είναι η πληροφόρηση Συλλέγονται από πολλαπλές πηγές, δώσαμε την πηγή που έχουμε λάβει τις λεπτομέρειες από και αν την παρεχόμενη, οποιαδήποτε απόδειξη η ίδια η πηγή έχει δώσει έτσι οι χρήστες μπορούν να ελέγξουν την εγκυρότητα των αξιώσεων που έγιναν για έναν τομέα. Για περισσότερες πληροφορίες σχετικά με τις πηγές και τη συλλογή δεδομένων, ανατρέξτε στην ενότητα <a href=""htps://gatenlp.github.io/gateplugin-source_credability/"" target=""_blank"" rel=""noopener noreferrer""> αυτή η σελίδα </a>"	"<b>ما هذا؟</b><br> لكل عنوان URL يتم إدخاله، نقوم بتشغيل النطاق (إذا كان هذا عنوان URL غير متعلق بوسائط التواصل الاجتماعي) أو الحساب (إذا كان هذا عنوان URL متعلق بوسائط التواصل الاجتماعي) على خدمة تحليل النطاق / الحساب URL. وتظهر نتائج هذا الفحص هنا.</br></br>ما الذي يمكنني فعله بهذه النتائج؟</b><br> تهدف خدمة تحليل النطاق / الحساب URL إلى جمع المعلومات حول نطاق / حساب من مصادر متعددة. ونعتزم من خلالها إعلام المستخدم ما إذا كانت أيًا من المصادر التي نجمع منها تحتوي على معلومات حول النطاق / الحساب لعنوان URL المدخل. ويتم تقسيم النتيجة إلى ثلاثة أنواع:<ul> <li> <strong> تحذير: </ strong> النطاق مُدرج حسب المصدر والذي يسرد موثوقية النطاقات التي يُحتمل أن تكون غير جديرة بالثقة </ li> <li> <strong> مدقق المعلومات: </ strong> النطاق مُدرج حسب المصدر والذي يسرد بشكل صريح مدققي المعلومات </ li> <li> <strong> الإشارات: </ strong> النطاق مُدرج حسب المصدر والذي يسرد مزيجًا من النطاقات الموثوقة وغير الجديرة بالثقة </ li> </ul> ونظرًا لأن هذه المعلومات جمعت من مصادر متعددة، فقد قمنا بإعطاء المصدر الذي استخرجنا منه التفاصيل وإذا توفر أي دليل، قدمه المصدر بنفسه حتى يتمكن المستخدمون من التحقق من صحة المعلومات المتعلقة بنطاق. للمزيد من المعلومات حول المصادر وجمع البيانات، راجع هذه الصفحة  <a href=""https://gatenlp.github.io/gateplugin-Source_Credibility/"" target=""_blank"" rel=""noopener noreferrer""></a>"
source_cred_popup_header	The domain/account has been found in the following reports listed by:	Le domaine / compte a été trouvé dans les rapports suivants énumérés par:	El dominio / cuenta se ha encontrado en los siguientes informes enumerados por:	Ο τομέας / ο λογαριασμός βρέθηκε στις ακόλουθες αναφορές που απαριθμούνται από:	تم العثور على المجال/الحساب في التقارير التالية المدرجة من قبل:
url_domain_analysis	URL Domain Analysis	Analyse de domaine URL	Análisis de dominio URL	Ανάλυση τομέα URL	تحليل مجال URL
fact_checker	Fact checker	Fact checker	Chequeador	Ελέγχου	مدقق المعلومات
warning	Warning	Avertissement	Advertencia	Προειδοποίηση	تحذير
mentions	Mentions	Mention	Menciones	Αναφέρει	إشارات
assistant_error_instagram	The assistant has failed to retrieve this instagram post. Please open this URL in a new tab (you may need to log in to instagram), then use the ASSISTANT FOR CURRENT PAGE button to retry.	Temp	Temp	Temp	فشل المساعد في استرداد منشور انستغرام هذا. يرجى فتح عنوان URL هذا في علامة تبويب جديدة (قد تحتاج إلى تسجيل الدخول إلى انستغرام) ، ثم استخدام زر مساعد للصفحة الحالية لإعادة المحاولة.
